Compensation,ROA,Return,Assets
16.58,2.53,-0.15,20917.5
26.92,1.27,0.57,32659.5
11.83,0.91,1.23,64787.5
0.91,2.24,1.28,596
3.44,-1.93,-0.83,1997.5
10.25,0.04,1.21,10217.5
25.09,1.25,1.01,46029.5
8.12,2.01,1.74,2494
14.12,0.88,0.55,58083
2.47,0.49,0.58,6233.5
11.57,0.73,0.17,35439.5
7.61,0.76,0.01,2161
9.33,0.34,3.07,8555.5
15.38,2.46,5.45,3006.5
10.35,0.96,2.35,4309
6.63,0.85,1.79,3165
4.89,0.19,1.23,13736
23.98,0.74,0.99,156813
3.89,2.36,0.11,2030.5
33.99,0.8,1.19,106109.5
11.24,1.47,0.51,19407
3.24,0.47,0.49,18903
14.22,0.41,0.82,37079.5
29.14,0.87,0.91,121144.5
7.01,0.46,2.05,23958.5
21.23,0.48,0.3,916230.5
7.23,1.34,1.12,1956
24.08,1.64,0.43,31542.5
13.43,1.18,0.88,38776
9.94,1.66,0.14,16466
2.63,1.38,1.44,604.5
5.28,1.97,0.63,21790
5.63,-0.11,2,10154.5
6.04,0.52,2.16,12360.5
3.31,0.8,0.24,3405
2.7,0.31,0.79,21967.5
60.73,0.54,1.6,208133
4.51,0.54,0.43,8713
4.77,0.84,2.66,5524
5.28,1.12,0.52,4264.5
2.24,0,-2.08,1029.5
64.63,-0.14,-0.77,23882
13.32,2.11,-0.55,4999.5
8,3.02,1.84,8256.5
6.29,0.93,0.12,5101.5
2.46,0.36,0.88,11905
27.87,0.5,0.72,1375770
2.27,0.61,0.56,10379.5
13.63,0.48,1.08,102662
8.13,2.21,1.02,2271.5
13.58,1.3,1.7,13706.5
8.44,0.5,0.55,115260.5
5.74,0.53,-0.54,3597.5
5.8,0.87,0.63,3002
12.2,0.33,-1.17,8467.5
10.34,1.34,0,5545
6.7,0.44,0.93,17193.5
3.59,2.34,2.66,9298.5
8.36,-0.8,-2.51,19539
2.62,0.7,2.34,2763.5
9.8,1.16,0.93,26856.5
9.9,1.49,2.1,4314.5
3.58,1.06,-1.39,4536
13.37,0.83,1.44,31050.5
4.03,2.51,1.56,1513.5
3.69,2.23,2.24,1664.5
37.44,0.79,-0.05,119220
4.81,0.91,0.73,11099
14.82,0.99,1.08,49501
4.65,0.57,-0.1,7214.5
28.64,-0.87,0.47,43269.5
28.77,0.66,9.45,1997
5.19,0.28,1.48,17374.5
6.34,-0.73,1.92,1931
2.54,0.68,0.94,7602
5.33,-0.82,-0.69,1947
15.06,1.3,1.68,20267.5
31.6,1.93,1.13,129230.5
3.52,3.24,3.34,4138
4.96,2.42,-0.45,1404.5
16.76,1.56,1.31,49169
21.01,0.81,1.7,43646
3.16,1.48,0.03,4505
2.21,1.61,0.42,16612.5
13.9,0.54,1.17,70436.5
25.98,0.45,0.66,1689177.5
9.31,0.48,0.79,18795
4.87,-0.11,1.47,15706
32.34,2.44,0.61,29695
5.75,-0.2,-0.15,24361.5
1.69,3.32,3.84,1098
23.26,2.29,0.77,8822.5
1.75,1.68,0.06,997.5
26,0.21,0.83,106902.5
8.61,0.51,0.29,55507
3.61,0.26,0.73,41869
9.98,0.48,0.98,32499
43.44,1.85,1.55,135890
10.28,1.49,1.39,5367.5
4.72,0.45,0.57,25773
20.06,0.46,1.16,21638
8.62,0.9,2.61,2475.5
10.01,1.24,1.46,5295
11.29,1.54,1.75,12136
48.13,0.53,0.54,187515.5
2.04,0.3,5.29,4570
12.94,4.21,0.9,5280
13.77,0.61,1.85,24680.5
2.96,0.53,0.71,12482.5
13.58,1.34,1.42,7175
24.02,1.03,1.18,17928.5
5.17,-0.27,1.95,1911
5.07,0.52,0.35,3845
19.61,1.52,1.35,11013.5
11.03,0.55,1.07,6910.5
1.59,1.8,2.15,1822.5
6.14,1.09,1.91,7021.5
12.97,1.3,1.66,32668
2.33,0.54,-0.47,2432
12.47,0.83,1.63,15385.5
7.3,0.38,0.79,50964.5
20.62,0.39,0.36,9505
9.07,1.15,0.85,7103.5
16.82,1.33,-0.42,45757.5
4.16,0.82,0.13,1869
1.55,0.44,0.44,16651.5
12.17,0.4,1.27,4104
5.95,1.66,1.23,3074.5
7.33,0.31,0.57,23560
12.9,0.47,0.92,61711.5
2.63,0.81,1.28,6443.5
5.43,-0.86,1.56,8831.5
9.95,0.42,1.68,49153.5
10.69,1.15,0.26,32534
2.99,1.6,-1.43,858.5
9.45,1.24,0.46,5952.5
8.37,-1.09,-0.88,14778
14.13,1.24,0.66,10817.5
15.74,1.28,-1.04,12641.5
6.56,1.29,0.97,4108
12.74,0.48,1.22,35526
4.63,1.3,0.68,1238
5.89,0.01,1.14,29550.5
13.64,0.34,1.29,17520.5
20.21,1.05,0.03,17678
6.61,1.27,1.59,2727.5
3.18,1.98,1.2,3976
14.76,0.52,1.06,30970.5
7.97,2.49,1.7,8577.5
7.08,1.92,1.5,1811.5
3.43,0.25,1.96,14585.5
1.34,0.62,2.34,2362.5
16.43,0.43,1.24,43558
5.09,1.15,2.87,5301
13.01,2.68,1.38,213675
6.93,-0.53,0.77,1987
3.64,6.84,0.57,853.5
12.83,0.88,0.68,5910
6.11,0.46,-0.15,102947
2.15,0.37,0.71,34355
3.07,0.33,0.21,37248.5
0.98,0.08,1.28,861.5
12.75,0.5,1.57,31518.5
4.41,1.01,1.53,6146
10.75,0.71,1.82,4724.5
10.52,1.16,2.38,2292
28.18,-0.28,-1.98,274327.5
4.41,0.69,1.15,3417.5
10.8,0.84,0.33,13935
9.5,0.49,1.32,34406
32.11,3.34,1.5,5470
8.79,4.1,5.88,1373.5
3.29,0.67,1.47,1175
1.36,0.48,0.22,13660.5
8.15,1.1,-0.65,15983.5
2.28,0.37,1.32,4945.5
17.12,2.07,2.73,13494.5
14.5,1.19,1.93,21038
17.86,0.41,0.39,685002
0.24,0.08,1.96,25274
10.19,-0.22,-0.36,330230
3.8,1.77,0.32,567
3.84,1.28,0.67,4634.5
22.45,0.49,0.26,7035
9.61,-0.21,3.6,3926
1.05,0.57,0.61,1943
15.83,0.83,1.57,6677.5
0.56,3.22,4.8,14372.5
6.6,1.57,0.63,3077
3.07,0.55,0.47,4089
15.3,2.12,1.36,15954
4.34,2.79,0.87,5393.5
14.24,0.3,1.24,21401.5
3.41,0.87,1.13,3151
2.79,1.64,0.24,929.5
17.49,0.3,1.2,306050.5
8.41,1.01,1.14,3199
3.7,0.18,0.07,9921.5
2.03,1.69,1.12,2975.5
5.4,0.43,0.87,2689.5
15.01,1.2,1.83,20778.5
6.84,1.82,2.53,1824
2.35,1.75,0.36,1183
27.7,0.87,1.32,31287
0.1,1.53,0.73,3536
13.12,0.76,1.65,10026.5
5.33,0.35,0.92,31791
5.8,1.8,1.64,8484
2.84,0.45,0.34,34047
17.03,0.29,1.29,13557.5
4.76,1.36,1.09,1457.5
2.46,2.51,1.52,525.5
5.39,1.94,0.26,12663
3.46,0.99,1.57,1264.5
6.99,2.32,0.79,1940
3.97,0.5,0.92,25473.5
18.21,1.16,0.38,11951
4.31,0.41,0.42,6162.5
9.81,2.13,-0.31,48341
1.86,0.43,0.17,10651.5
2.01,1.22,0.57,2558.5
13.73,0.46,-0.28,26402.5
7.17,-0.17,-0.23,11904.5
10.57,1.07,1.47,7236.5
2.91,2.64,1.2,576
14.54,1.07,1.27,3583.5
4.99,0.41,0.37,3704
19.9,0.43,1.15,15303
0.26,-0.05,0.21,4367.5
28.56,2.63,0.29,64710
4.02,0.12,0.09,4189.5
39.05,0.3,1.05,1275231
6.52,-0.62,-1.19,7776
2.32,0.39,1.64,4530.5
14.35,1.38,0.48,10644.5
12.02,0.43,0.66,92731.5
10.69,1.36,0.28,16685
2.89,1.96,2.14,6702
0,1.11,0.44,12732.5
6.38,0.77,-0.29,1888.5
4.99,0.98,2.07,3147.5
1.33,2.05,0.13,527
9.64,0.76,0.31,56601
3.05,1.64,1.91,373
3.69,0.7,0.71,12598
21.51,1.38,1.76,3938.5
3.23,0.04,2.71,3292.5
2.23,0.86,-0.34,4168.5
10.06,1.54,-0.57,3089.5
15.23,1.47,0.08,23268
18.13,0.26,1.39,151677.5
9.81,1.25,0.14,3324
18.6,1.19,2.54,27987.5
5.04,0.87,2.19,73893.5
3.58,1.28,-0.35,3513.5
6.36,0.44,1.92,2824
15.06,0.57,1.19,4381
2.3,0.51,0.68,56105.5
15.34,1.52,-0.58,3885
3.67,0.65,0.95,4335.5
17.25,0.91,1.35,2368.5
21.37,2.08,3.29,29664.5
12.6,1.04,1.74,8559
8.09,0.5,0.51,51221.5
6.3,1.9,1.29,599
17.29,0.79,-0.44,12442
5.33,-0.16,-1.21,2864
5.99,1.61,0.64,4664
14.29,0.74,0.77,37162
12.71,1.21,1.45,29482
19.88,4.81,1.47,6219.5
6.16,0.16,0.31,9096.5
9.14,1.58,0.73,14418
17.04,0.48,1.08,102662
10.24,1.54,2.74,44708
91.38,0.29,1.58,761157
19.36,0.23,1.4,504680
7.21,3.19,0.01,6490
2.95,0.78,2.13,2209
6.68,0.44,0.18,11701
6.25,0.9,1.63,1824.5
8.2,5.86,2.13,1477.5
8.66,1.73,0.44,6926
30.8,1.62,0.49,8186
0.76,0.52,0.32,141294
0.23,1.6,0.05,664.5
4.93,1.1,1.63,7849
6.97,0.95,1.07,5257
4.4,-0.57,-1.07,4210
7.58,1,1.14,6378.5
2.06,0.46,1.01,4240.5
7.33,1.78,1.12,4466
24.44,0.79,1.23,25943.5
8.28,-1.08,-0.84,18557
4.99,-0.07,1.53,11935.5
11.01,0.4,1.21,57065
21.66,0.67,1.47,33111.5
6.22,0.96,1.32,2326
55.63,2.62,1.79,29269.5
11.75,0.79,3.58,6328
5.57,0.06,2.36,6244
4.77,0.59,1.62,4898.5
13.24,0.65,0.9,16862.5
9.65,0.59,1.63,9851.5
2.45,-1.07,-1.97,758.5
7.38,1.41,1.7,14911
7.91,1.05,1.52,2789
6.04,1.02,2.2,8183
7.67,0.51,0.93,4352
5.5,0.63,0.43,11725.5
9.38,2.36,0.56,30828.5
7.2,0.53,-0.05,2601.5
2.34,1.05,0.49,1476
9.8,1.19,0.64,116258
7.99,0.41,1.14,34438.5
9.43,3.02,3.37,12495
2.11,2.56,2.49,3183.5
7.52,0.36,0.84,11389.5
9.37,0.78,0.41,9615
4.63,0.9,0.76,4736.5
1.25,-0.52,-1.72,870
18.07,0.73,1.26,96887
9.15,0.91,0.42,6323.5
2.35,2.41,-1.34,775
2.79,0.88,1.92,1130.5
8.89,1.01,-0.03,9374
4.59,1.2,1.09,10796.5
16.85,0.26,1.32,135346.5
9.86,0.35,0.59,26384.5
5.43,2.81,0.47,19190.5
4.68,1.37,1.84,14515
25.75,0.29,1.67,433820
9.17,0.39,0.92,29186.5
7.68,2.08,2.42,8375
15.69,1.29,0.03,13119
9.08,1.52,0.45,5483.5
4.01,1.29,1.68,4719.5
3.53,0.96,-2.06,2137.5
5.67,1.47,1.32,1902
17.23,0.61,1.92,24936
18.43,0.41,0.76,114077.5
3.33,1.65,3.26,2691.5
8.17,1.01,1.92,16348.5
13.04,2.54,0.86,1389
8.74,1.04,0.58,9624
4.9,0.5,0.55,6431
6.14,1.85,1.1,14550
7,0.59,2.68,16015.5
9.97,1.36,2.88,5044
29.66,0.66,1.27,15770
17.53,2.29,2.13,20454.5
6.53,0.73,0.62,1466.5
9.92,1.37,0.27,4188.5
2.1,1.1,1.88,3069
1.99,0.8,0.74,4942.5
12.18,0.53,1.47,29097.5
4.52,0.08,1.71,8637
7.35,1.49,1.74,4682
5.57,0.33,1.75,8351.5
1.93,1.93,1.13,2232.5
3.24,0.83,0.07,644
3.1,0.94,2.16,21607.5
16.63,0.44,0.02,107737.5
8.69,1.38,1.06,4697.5
5.16,0.63,1.32,2331.5
7.85,0.59,0.52,41367.5
1.41,0.55,0.17,13731.5
21.3,0.16,-0.32,99960.5
8.15,0.31,1.32,5371.5
5.79,1.59,-0.32,4817.5
3.82,0.57,0.26,13045
8.45,1.14,-0.56,4392
6.16,1.2,0.3,3740
9.96,0.88,1.26,10887
26.76,0.35,1.48,102660.5
6.05,2.13,0.56,5433.5
22.96,1.49,1.19,10456.5
7.57,0.4,0.71,180937.5
9.21,0.89,1.14,1679.5
4.98,0.58,0.57,29793.5
5.1,7.08,1.38,2538
4.2,0.44,0.49,7266
3.34,0.77,1.8,3718.5
12.37,0.23,1.32,21052
9.5,-0.77,-1.2,9175.5
3,0.63,0.29,1790.5
15.48,0.98,4.16,4493
11.72,2.41,1.06,14496.5
23.67,0.55,1.46,17024.5
7.09,0.38,2.56,2612.5
5.63,0.58,1.95,48171.5
11.35,1.87,-0.35,4210.5
3.65,0.22,-0.28,14265
4.2,1.68,-0.66,1576
16.08,0.95,1.35,114239.5
10.71,0.48,2.07,12757
8.21,1.16,2.45,1875
22.48,0.45,0.62,127731.5
2.03,1.19,0.54,14874.5
4.47,1.43,2.02,10966.5
6.34,0.62,-0.59,13973.5
7.07,0.88,2.96,3006.5
17.94,0.27,1.26,10681.5
10.01,1.24,1.63,25686
5.92,0.76,0.88,214348.5
2.42,0.42,-0.62,9156
8.28,0.54,1.49,36067.5
0.96,2.64,0.86,1665
15.55,3.13,0.6,44804
6.17,1.75,0.12,34078.5
5.43,0.45,1.39,5548.5
8.64,1.63,1.13,10204
3.47,1.01,0.27,1551
27.17,1.15,1.2,46533
14.48,0.79,1.05,3068
4.7,0.3,0.7,52345
12.3,-1.65,2.75,5753.5
3.02,1.3,-2.55,749.5
9.94,2.12,2.32,35275.5
5.38,0.47,0.62,12415.5
1.7,1.17,3.03,757
1.61,1.27,2.34,935
21.26,0.49,0.49,178467
5.92,-4.91,8.26,735.5
3.19,0.33,0.16,4610
4.56,1.53,2.29,15795.5
16.02,1.71,1.62,3509
23.85,0.44,0.35,613938
14.25,0.33,0.64,344930.5
5.6,0.82,0.89,20867.5
4.48,2.14,-0.01,1523
3.68,-0.65,-0.59,3419
14.03,1.2,1.37,9359.5
3.08,0.32,0.4,17467
23.89,1.97,0.84,51431
29.85,0.59,0.68,481868.5
4.17,0.25,2.64,2750
5.55,1.07,2.35,2237.5
1.97,0.71,0.07,4963.5
1.07,0.42,0.57,5332.5
8.25,0.71,1.15,11030
10.34,0.18,1.49,27422.5
2.55,0.52,0.79,10701
1.04,1.87,-0.15,4528
32.85,1.66,1.42,36160
11.2,0.37,1.01,21731.5
10.69,0.71,0.3,21831
8.85,0.12,0.04,58882
52.06,2.27,2.03,11371
39.82,1.93,-1.33,11173
4.48,0.81,-1.04,5793
12.43,1.74,1,6082.5
1.76,1.45,-1.56,940.5
11.99,2.03,-0.03,5848
2.3,0.45,0.75,44875
