Week,Index,Bluechip
1,2.58,4.07
2,2.90,2.64
3,-0.22,0.20
4,1.62,1.31
5,0.11,0.10
6,2.56,2.25
7,0.65,0.97
8,0.46,1.09
9,-2.12,-2.37
10,2.95,3.48
11,-0.74,-0.18
12,1.23,1.00
13,1.51,2.54
14,1.13,0.59
15,-0.06,0.02
16,1.21,2.08
17,0.22,0.15
18,-2.10,-3.11
19,-0.69,-1.30
20,-1.13,-2.24
21,-2.59,-2.24
22,4.47,3.73
23,0.52,0.53
24,2.22,3.09
25,-0.28,-0.33
26,1.23,1.74
27,1.29,1.52
28,-1.22,-1.06
29,1.67,1.86
30,-3.07,-3.98
31,-0.40,-0.60
32,-0.94,-0.85
33,-1.41,-1.20
34,2.83,2.49
35,1.82,1.39
36,1.02,-3.94
37,-0.50,2.74
38,-0.98,-2.97
39,-0.78,0.74
40,1.16,1.01
41,0.55,0.33
42,1.23,2.15
43,1.49,1.68
44,0.92,0.98
45,0.94,1.51
46,-0.29,0.05
47,1.03,1.75
48,0.20,-0.59
49,0.09,1.36
50,2.37,2.11
51,0.60,1.37
52,-0.56,-1.00
