State, Home Value,HH Inc,Per Cap Inc,Pct Owner Occ
Alabama,117600,42081,22984,71.1
Alaska,229100,66521,30726,64.7
Arizona,215000,50448,25680,67.4
Arkansas,102300,39267,21274,67.7
California,458500,60883,29188,57.4
Colorado,236600,56456,30151,67.6
Connecticut,296500,67740,36775,69.2
Delaware,242300,57599,29007,73.6
District of Columbia,443300,58526,42078,43.5
Florida,205600,47661,26551,69.7
Georgia,161400,49347,25134,67.2
Hawaii,537400,66420,28882,59.3
Idaho,172700,46423,22518,71
Illinois,202500,55735,28782,69.2
Indiana,123000,47697,24058,71.5
Iowa,119200,48872,25335,73.2
Kansas,122600,49424,25907,69.4
Kentucky,116800,41576,22515,69.9
Louisiana,130000,43445,23094,68.2
Maine,176200,46933,25385,73.1
Maryland,329400,70647,34849,69
Massachusetts,352300,64509,33966,64
Michigan,144200,48432,25135,74.2
Minnesota,206200,57243,29582,74.2
Mississippi,96500,37881,19977,70.8
Missouri,137700,46262,24724,70
Montana,173300,43872,23836,69
Nebraska,123900,49342,25229,68.6
Nevada,254200,55726,27589,60.1
New Hampshire,253200,63277,31422,72.6
New Jersey,357000,69811,34858,66.9
New Mexico,158400,43820,22966,69.6
New York,303900,55603,30948,55.2
North Carolina,149100,45570,24745,68.1
North Dakota,111300,46781,25803,66.6
Ohio,136400,47358,25113,69.2
Oklahoma,104300,42979,23094,68.2
Oregon,252600,49260,26171,63.8
Pennsylvania,159300,50398,27049,71
Rhode Island,279300,54902,28707,62.5
South Carolina,134100,43939,23443,69.9
South Dakota,122200,46369,24110,68.9
Tennessee,134100,43314,23722,69.6
Texas,123500,49646,24870,64.8
Utah,218100,56330,23139,71.2
Vermont,208400,51841,27478,71.4
Virginia,255100,61406,32145,68.9
Washington,285400,57244,29733,64.8
West Virginia,94500,38380,21232,74.6
Wisconsin,169000,51598,26624,69.5
Wyoming,174000,53802,27860,70.2
