Price,Sqft,Beds,Baths,
840000,2768,4,3.5,
822000,2500,4,2.5,
713000,2400,3,3,
689000,2200,3,2.5,
685000,2716,3,3.5,
645000,2524,3,2,
625000,2732,4,2.5,
620000,2436,4,3.5,
587500,2100,3,1.5,
585000,1947,3,1.5,
583000,2224,3,2.5,
569000,3262,4,2,
546000,1792,3,2,
540000,1488,3,1.5,
537000,2907,3,2.5,
516000,1951,4,2,
511000,1752,3,1.5,
510000,1727,3,2,
495000,1692,3,2,
463000,1714,3,2,
457000,1650,3,2,
451000,1685,3,2,
435000,1500,3,1.5,
431700,1896,2,1.5,
414000,1182,2,1.5,
401500,1152,3,1,
399000,1383,4,1,
380000,1344,4,2,
380000,1272,3,1,
375900,2275,5,1,
372000,1005,2,1,
367500,1272,3,1,
356500,1431,2,2,
330000,1362,3,1,
330000,1465,3,1,
307500,850,1,1,
