Player,Salary,BA,RBI,Experience,,,
Nick Markakis,455,299,87,3,,,
Adam Jones,390,261,23,3,,,
Felix Pie,401.5,223,15,2,,,
Luke Scott,430,266,43,4,,,
Rocco Baldelli,2250,281,47,5,,,
Jason Bay,6000,282,82,6,,,
JD Drew,14000,284,58,11,,,
Jacoby Ellsbury,406,293,33,2,,,
Mark Kotsay,7000,281,51,12,,,
Brad Wilkerson,3000,247,50,8,,,
Melky Cabrera,461.2,268,40,4,,,
Johnny Damon,13000,289,65,14,,,
Xavier Nady,3350,280,46,7,,,
Nick Swisher,3600,244,65,5,,,
Pat Burrell,14250,257,92,9,,,
Carl Crawford,5375,293,62,7,,,
Gabe Gross,414,242,25,5,,,
Gabe Kapler,800,273,34,10,,,
BJ Upton,412.1,277,43,4,,,
Buck Coats,392.1,193,1,3,,,
Alex Rios,4835,288,67,5,,,
Vernon Wells,3687.5,283,66,10,,,
Brian Anderson,395,221,16,4,,,
Jermaine Dye,9500,276,76,13,,,
Jerry Owens,397.5,268,6,3,,,
Carlos Quentin,400,262,54,3,,,
Shin-Soo Choo,390.4,291,24,4,,,
Dave Dellucci,3750,258,33,12,,,
Grady Sizemore,3166.666,279,70,5,,,
Curtis Granderson,1000,280,46,5,,,
Magglio Ordonez,15768.174,312,91,12,,,
Ryan Raburn,396,255,16,3,,,
Marcus Thames,1275,241,32,7,,,
Clete Thomas,390,284,9,1,,,
Coco Crisp,5083.333,280,45,7,,,
David DeJesus,2500,287,47,6,,,
Esteban German,1000,277,15,7,,,
Jose Guillen,12000,273,64,12,,,
Mark Teahen,2337.5,268,61,4,,,
Michael Cuddyer,5916.666,268,42,8,,,
Carlos Gomez,395,254,36,2,,,
Delmon Young,1440,292,57,3,,,
Bobby Abreu,16000,300,83,13,,,
Vladimir Guerrero,15500,323,98,13,,,
Torii Hunter,16500,272,66,12,,,
Gary Matthews Jr.,9400,259,43,10,,,
Juan Rivera,2025,284,35,8,,,
Travis Buck,400,266,30,2,,,
Jack Cust,410,239,25,7,,,
Matt Holliday,9500,319,97,5,,,
Ryan Sweeney,395,274,18,3,,,
Endy Chavez,1800,270,22,8,,,
Ken Griffey Jr.,8282.695,288,89,20,,,
Franklin Gutierrez,404.4,258,21,4,,,
Mike Morse,393.5,300,9,4,,,
Ichiro Suzuki,17102.149,331,59,8,,,
Marlon Byrd,1800,278,35,7,,,
Josh Hamilton,396.83,300,89,2,,,
David Murphy,393,286,30,3,,,
Garret Anderson,12600,296,86,15,,,
Gregor Blanco,390,251,38,1,,,
Matt Diaz,1225,309,17,6,,,
Jeff Francoeur,460,268,81,4,,,
Omar Infante,1400,260,28,7,,,
Alfredo Amezaga,945,253,14,7,,,
Brett Carroll,390,152,2,2,,,
Alejandro De Aza,390,229,8,1,,,
Jeremy Hermida,395,267,41,4,,,
Cody Ross,390,261,33,5,,,
Marlon Anderson,1050,265,34,11,,,
Carlos Beltran,18622.809,281,90,11,,,
Ryan Church,2000,272,40,5,,,
Angel Pagan,401.5,259,17,3,,,
Raul Ibanez,5500,286,61,13,,,
Geoff Jenkins,5000,275,67,11,,,
Matt Stairs,1625,266,54,16,,,
Shane Victorino,480,281,32,5,,,
Jayson Werth,1700,263,37,6,,,
Elijah Dukes,392.5,235,33,2,,,
Adam Dunn,13000,247,84,8,,,
Willie Harris,809,248,5,8,,,
Austin Kearns,5000,260,58,7,,,
Lastings Milledge,402.5,263,37,3,,,
Corey Patterson,3000,253,40,9,,,
Wily Mo Pena,2000,253,32,7,,,
Josh Willingham,405,266,44,5,,,
Andruw Jones,14726.91,259,87,13,,,
Milton Bradley,5250,280,44,9,,,
Kosuke Fukudome,7000,257,58,1,,,
Joey Gathright,427,263,19,5,,,
Reed Johnson,1300,284,47,6,,,
Alfonso Soriano,14000,282,71,10,,,
So Taguchi,900,279,23,7,,,
Jonny Gomes,1275,235,31,6,,,
Norris Hopper,402.5,316,7,3,,,
Jacque Jones,6333.333,277,63,10,,,
Willy Taveras,1975,283,22,5,,,
Daryle Ward,1200,263,34,11,,,
Michael Bourn,396,237,12,3,,,
Darin Erstad,1000,284,53,13,,,
Carlos Lee,12500,290,100,10,,,
Jason Michaels,2200,271,31,8,,,
Hunter Pence,396,292,76,2,,,
Ryan Bruan,455,301,102,2,,,
Chris Duffy,403.5,269,16,3,,,
Tony Gwynn,397.5,248,5,3,,,
Corey Hart,444,268,42,5,,,
Eric Hinske,800,254,57,7,,,
Nate McLouth,425,261,40,4,,,
Craig Monroe,3820,253,52,8,,,
Nyjer Morgan,391,296,7,2,,,
Jeff Salazar,393,247,10,3,,,
Rick Ankiel,900,262,20,6,,,
Brian Barton,390,268,13,1,,,
Chris Duncan,439,266,36,4,,,
Ryan Ludwick,411,273,35,6,,,
Skip Schumaker,396,299,17,4,,,
Eric Byrnes,6666.666,263,41,9,,,
Conor Jackson,419.5,287,56,4,,,
Alex Romero,390,230,12,1,,,
Justin Upton,393,242,27,2,,,
Chris Young,406,243,54,3,,,
Brad Hawpe,3925,282,68,5,,,
Scott Podsednik,750,271,25,8,,,
Ryan Spilborghs,396,302,27,4,,,
Andre Ethier,424.5,299,65,3,,,
Matt Kemp,406,299,47,3,,,
Juan Pierre,8000,300,40,9,,,
Delwyn Young,391,267,3,3,,,
Emil Brown,1400,258,36,9,,,
Cliff Floyd,2750,279,54,16,,,
Jody Gerut,700,271,46,4,,,
Brian Giles,9666.666,294,75,14,,,
Scott Hairston,406,246,20,5,,,
Fred Lewis,392,286,20,3,,,
Dave Roberts,6500,266,21,10,,,
Aaron Rowand,9600,283,52,8,,,
Randy Winn,8875,288,53,11,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
