State,y,x1,x2,x3
Alabama,22984,18.6,3.4,4.9
Alaska,30726,9.3,7.2,16.5
Arizona,25680,15,14.2,27.1
Arkansas,21274,18.1,4.3,6.7
California,29188,19.3,27.2,43
Colorado,30151,10.7,9.8,16.8
Connecticut,36775,11.6,13.2,20.6
Delaware,29007,13,8.2,12.2
District of Columbia,42078,13.5,13,14.6
Florida,26551,14.7,19.2,26.6
Georgia,25134,16.5,9.6,12.7
Hawaii,28882,10.2,17.7,25.5
Idaho,22518,11.8,5.9,10.2
Illinois,28782,13.8,13.6,21.7
Indiana,24058,13.8,4.4,7.8
Iowa,25335,10.1,4.1,6.8
Kansas,25907,10.8,6.3,10.5
Kentucky,22515,19,3.1,4.6
Louisiana,23094,19,3.6,8.7
Maine,25385,10.2,3.3,7.1
Maryland,34849,12.2,13.2,15.9
Massachusetts,33966,11.3,14.5,21
Michigan,25135,12,5.9,8.9
Minnesota,29582,8.7,7,10.3
Mississippi,19977,20.4,2.2,3.8
Missouri,24724,13.8,3.7,5.9
Montana,23836,9,2,4.6
Nebraska,25229,10,5.9,9.7
Nevada,27589,15.7,19.3,28.2
New Hampshire,31422,9.1,5.3,8
New Jersey,34858,12.7,20.3,28.7
New Mexico,22966,17.3,9.7,36
New York,30948,15.6,21.7,29.2
North Carolina,24745,16.4,7.4,10.4
North Dakota,25803,10.6,2.4,5.4
Ohio,25113,12.6,3.8,6.3
Oklahoma,23094,14.6,5.2,8.8
Oregon,26171,11.4,9.7,14.3
Pennsylvania,27049,12.6,5.6,9.9
Rhode Island,28707,16.3,12.6,20.8
South Carolina,23443,17,4.7,6.6
South Dakota,24110,10.7,2.3,6.8
Tennessee,23722,17.5,4.4,6.2
Texas,24870,20,16.1,34.2
Utah,23139,9.4,8.2,14.2
Vermont,27478,9.4,4,5.4
Virginia,32145,13.9,10.8,14.1
Washington,29733,10.4,12.7,17.5
West Virginia,21232,18.1,1.3,2.3
Wisconsin,26624,10.6,4.6,8.4
Wyoming,27860,8.7,3.1,6.7
