,< 3 months,Between 3 and 6 months,Between 6 and 12 months,> 12 months
Instructor A,1660,1587,1366,1300
,1576,1562,1531,1255
,1584,1701,1352,1321
,1609,1539,1323,1264
,1772,1638,1339,1350
,1624,1580,1302,1336
,1614,1580,1414,1304
,1632,1518,1324,1300
,1668,1560,1398,1272
,1580,1566,1437,1270
Instructor B,1535,1598,1345,1296
,1643,1539,1357,1286
,1662,1581,1427,1308
,1640,1553,1422,1251
,1610,1553,1362,1256
,1632,1568,1365,1334
,1582,1601,1357,1244
,1590,1672,1447,1317
,1670,1637,1396,1291
,1539,1667,1385,1379
Instructor C,1641,1483,1400,1289
,1633,1525,1421,1272
,1586,1577,1382,1295
,1620,1522,1329,1274
,1609,1592,1404,1240
,1593,1523,1369,1286
,1755,1605,1279,1190
,1612,1736,1289,1330
,1736,1521,1445,1217
,1584,1500,1358,1284
