Men,Women
1676,2043
1493,2023
1752,1701
1715,1777
1459,1782
1547,1835
1710,2019
1614,1966
1722,1921
1608,1945
1637,1899
1568,1991
1511,1900
1780,1869
1404,1869
1565,1882
1833,1855
1700,1908
1691,1849
1531,1810
1615,1840
1629,1958
1722,1876
1579,1837
1500,1862
1634,1813
1476,1894
1432,1982
1681,1827
1721,1886
1609,1927
1605,1755
1567,1928
1374,1890
1625,1870
1674,1891
1734,1927
1534,1888
1471,1790
1575,1882
1770,1952
1559,1748
1530,1909
1539,1895
1866,1755
1501,1864
1619,1977
1758,1955
1646,1982
1701,1953
1556,1839
1462,2053
1854,1968
1694,1828
1708,1974
1420,1904
1698,2054
1599,1726
1721,1841
1556,1870
1629,1925
1626,1916
1438,1848
1564,1836
1654,1888
1760,1931
1787,1858
1577,1938
1777,1880
1498,1841
1815,1862
1783,1740
1653,2179
1540,1889
1399,1813
1822,1870
1494,1931
1798,2122
1411,1864
1685,2051
